R2ID,Identificador,Dist,Ranitas_C6M,C6M
1772,9092,22,0,0
1773,9093,22,0,0
1774,9094,21,0,0
1775,9095,21,0,0
1776,9096,21,0,0
1777,9097,20,0,0
1778,9098,20,0,0
1779,9099,20,0,0
1780,9100,19,0,0
1781,9101,18,0,0
1782,9102,18,0,0
1783,9103,16,0,0
1784,9104,16,0,0
1785,9105,15,0,0
1786,9106,14,0,0
1787,9107,14,0,0
1788,9108,12,0,0
1789,9109,11,0,0
1790,9110,11,0,0
1791,9111,8,0,0
1792,9112,7,0,0
1793,9113,7,0,0
1794,9114,4,0,0
1795,9115,3,0,0
1796,9116,3,0,0
1797,9117,1,0,0
1798,9118,0,0,1
1799,9119,0,4,1
1800,9120,0,0,1
1801,9216,14,0,0
1802,9217,15,0,0
1803,9218,16,0,0
1804,9219,18,0,0
1805,9220,18,0,0
1806,9221,20,0,0
1807,9222,20,0,0
1808,9223,20,0,0
1809,9224,22,0,0
1810,9225,22,0,0
1811,9226,23,0,0
1812,9227,25,0,0
1813,9228,26,0,0
1814,9229,26,0,0
1815,9230,29,0,0
1816,9231,29,0,0
1817,9232,29,0,0
1818,9233,32,0,0
1819,9234,32,0,0
1820,9235,33,0,0
1821,9236,34,0,0
1822,9237,35,0,0
1823,9238,35,0,0
1824,9239,38,0,0
1825,9240,38,0,0
1826,9241,39,0,0
1827,9242,39,0,0
1828,9243,23,0,0
1829,9244,23,0,0
1830,9245,23,0,0
1831,9246,23,0,0
1832,9247,23,0,0
1833,9248,23,0,0
1834,9249,23,0,0
1835,9250,23,0,0
1836,9251,22,0,0
1837,9252,22,0,0
1838,9253,22,0,0
1839,9254,23,0,0
1840,9255,23,0,0
1841,9256,23,0,0
1842,9257,22,0,0
1843,9258,22,0,0
1844,9259,22,0,0
1845,9260,23,0,0
1846,9261,23,0,0
1847,9262,23,0,0
1848,9263,22,0,0
1849,9264,22,0,0
1850,9265,22,0,0
1851,9266,21,0,0
1852,9267,21,0,0
1853,9268,21,0,0
1854,9269,21,0,0
1855,9270,21,0,0
1856,9271,21,0,0
1857,9272,22,0,0
1858,9273,22,0,0
1859,9274,22,0,0
1860,9275,23,0,0
1861,9276,23,0,0
1862,9277,22,0,0
1863,9278,22,0,0
1864,9279,22,0,0
1865,9280,22,0,0
1866,9281,23,0,0
1867,9282,22,0,0
1868,9283,22,0,0
1869,9284,23,0,0
1870,9285,23,0,0
1871,9286,22,0,0
1872,9287,22,0,0
1873,9288,22,0,0
1874,9289,21,0,0
1875,9290,21,0,0
1876,9291,21,0,0
1877,9292,20,0,0
1878,9293,19,0,0
1879,9294,19,0,0
1880,9295,17,0,0
1881,9296,17,0,0
1882,9297,16,0,0
1883,9298,15,0,0
1884,9299,15,0,0
1885,9300,13,0,0
1886,9301,12,0,0
1887,9302,12,0,0
1888,9303,9,0,0
1889,9304,8,0,0
1890,9305,8,0,0
1891,9306,5,0,0
1892,9307,4,0,0
1893,9308,4,0,0
1894,9309,2,0,0
1895,9310,1,0,0
1896,9311,1,0,0
1897,9312,0,1,1
1898,9313,0,0,1
1899,9408,10,0,0
1900,9409,11,0,0
1901,9410,12,0,0
1902,9411,14,0,0
1903,9412,14,0,0
1904,9413,16,0,0
1905,9414,16,0,0
1906,9415,16,0,0
1907,9416,18,0,0
1908,9417,18,0,0
1909,9418,19,0,0
1910,9419,21,0,0
1911,9420,22,0,0
1912,9421,22,0,0
1913,9422,25,0,0
1914,9423,25,0,0
1915,9424,25,0,0
1916,9425,28,0,0
1917,9426,28,0,0
1918,9427,29,0,0
1919,9428,31,0,0
1920,9429,32,0,0
1921,9430,32,0,0
1922,9431,34,0,0
